feedback_id,project_id,source_type,channel,user_segment,user_region,app_version,rating,event_time,feedback_text,ground_truth_module,ground_truth_sentiment
fb_0001,proj_demo_001,app_review,客服工单,试用用户,华南,1.9.1,1,2026-04-03 20:03:00,付款时验证码一直收不到，最后我直接放弃购买会员了。,支付,negative
fb_0002,proj_demo_001,community_post,NPS问卷,流失风险用户,华北,2.0.0,5,2026-04-03 14:24:00,会员模板质量不错，适合做正式汇报。,会员,positive
fb_0003,proj_demo_001,community_post,用户访谈,试用用户,华北,1.8.0,2,2026-04-22 19:07:00,搜索结果经常找不到我想要的模板，关键词稍微变一下就没有结果。,搜索,negative
fb_0004,proj_demo_001,app_review,小红书评论,试用用户,华北,2.0.0,2,2026-04-14 10:29:00,微信登录偶尔会失败，提示授权过期，但我不知道怎么处理。,登录,negative
fb_0005,proj_demo_001,user_interview,小红书评论,流失风险用户,华中,1.8.1,2,2026-04-17 22:06:00,搜索“竞品分析”出来很多无关内容，排序不太准。,搜索,negative
fb_0006,proj_demo_001,community_post,App Store,流失风险用户,华北,1.9.1,2,2026-04-06 16:49:00,连续追问时 AI 会忘记前面的问题，上下文衔接不太好。,AI回复,negative
fb_0007,proj_demo_001,user_interview,客服工单,新用户,华南,2.0.0,2,2026-04-04 22:23:00,搜索结果经常找不到我想要的模板，关键词稍微变一下就没有结果。,搜索,negative
fb_0008,proj_demo_001,app_review,微信群反馈,老用户,华南,1.9.1,1,2026-04-03 19:31:00,开通会员后权益说明不清楚，不知道高级模板到底多了什么。,会员,negative
fb_0009,proj_demo_001,community_post,NPS问卷,老用户,华中,1.8.1,4,2026-04-06 12:33:00,最近搜索结果比之前更贴近需求。,搜索,positive
fb_0010,proj_demo_001,user_interview,NPS问卷,流失风险用户,西南,1.8.0,2,2026-04-13 18:41:00,微信登录偶尔会失败，提示授权过期，但我不知道怎么处理。,登录,negative
fb_0011,proj_demo_001,app_review,微信群反馈,流失风险用户,华南,2.0.0,2,2026-04-08 09:21:00,第一次使用不知道应该先上传文件还是先选择模板。,新手引导,negative
fb_0012,proj_demo_001,app_review,客服工单,新用户,华东,1.9.0,2,2026-04-01 09:45:00,会员价格页没有说明能不能退款，感觉不够透明。,会员,negative
fb_0013,proj_demo_001,nps_survey,客服工单,流失风险用户,华南,2.0.0,1,2026-04-17 11:17:00,开通会员后权益说明不清楚，不知道高级模板到底多了什么。,会员,negative
fb_0014,proj_demo_001,customer_service_ticket,App Store,新用户,海外,1.9.1,5,2026-04-16 20:26:00,AI 帮我把周报改得很清楚，节省了不少时间。,AI回复,positive
fb_0015,proj_demo_001,app_review,小红书评论,试用用户,海外,1.8.0,2,2026-04-15 21:46:00,支付流程步骤太多，点到第三步又跳回上一页，很影响转化。,支付,negative
fb_0016,proj_demo_001,app_review,客服工单,老用户,华南,2.0.0,1,2026-04-11 20:55:00,上传 Excel 后页面卡住了二十多秒，没有任何进度提示。,性能,negative
fb_0017,proj_demo_001,user_interview,NPS问卷,老用户,华东,1.9.1,3,2026-04-05 14:11:00,会员功能还行，但希望能按月和按次购买。,会员,neutral
fb_0018,proj_demo_001,community_post,App Store,新用户,华南,1.8.1,4,2026-04-04 08:41:00,最近搜索结果比之前更贴近需求。,搜索,positive
fb_0019,proj_demo_001,nps_survey,App Store,老用户,西南,1.8.0,3,2026-04-16 15:13:00,希望增加一个示例项目，让我知道完整流程怎么跑。,新手引导,neutral
