project_id,metric_date,metric_name,metric_value,dimension_name,dimension_value
proj_demo_001,2026-04-01,dau,9300,overall,all
proj_demo_001,2026-04-01,conversion_rate,0.13,overall,all
proj_demo_001,2026-04-01,payment_success_rate,0.9166,overall,all
proj_demo_001,2026-04-01,refund_rate,0.038,overall,all
proj_demo_001,2026-04-01,ticket_count,85,overall,all
proj_demo_001,2026-04-01,ai_reply_satisfaction,0.7883,overall,all
proj_demo_001,2026-04-01,onboarding_completion_rate,0.6265,overall,all
proj_demo_001,2026-04-02,dau,9020,overall,all
proj_demo_001,2026-04-02,conversion_rate,0.1255,overall,all
proj_demo_001,2026-04-02,payment_success_rate,0.9055,overall,all
proj_demo_001,2026-04-02,refund_rate,0.0345,overall,all
proj_demo_001,2026-04-02,ticket_count,80,overall,all
proj_demo_001,2026-04-02,ai_reply_satisfaction,0.7838,overall,all
proj_demo_001,2026-04-02,onboarding_completion_rate,0.6602,overall,all
proj_demo_001,2026-04-03,dau,9445,overall,all
proj_demo_001,2026-04-03,conversion_rate,0.1275,overall,all
proj_demo_001,2026-04-03,payment_success_rate,0.9069,overall,all
proj_demo_001,2026-04-03,refund_rate,0.0365,overall,all
proj_demo_001,2026-04-03,ticket_count,80,overall,all
proj_demo_001,2026-04-03,ai_reply_satisfaction,0.7677,overall,all
proj_demo_001,2026-04-03,onboarding_completion_rate,0.6298,overall,all
proj_demo_001,2026-04-04,dau,9228,overall,all
proj_demo_001,2026-04-04,conversion_rate,0.1251,overall,all
proj_demo_001,2026-04-04,payment_success_rate,0.9048,overall,all
proj_demo_001,2026-04-04,refund_rate,0.0362,overall,all
proj_demo_001,2026-04-04,ticket_count,87,overall,all
proj_demo_001,2026-04-04,ai_reply_satisfaction,0.7809,overall,all
proj_demo_001,2026-04-04,onboarding_completion_rate,0.6607,overall,all
proj_demo_001,2026-04-05,dau,9217,overall,all
proj_demo_001,2026-04-05,conversion_rate,0.1306,overall,all
proj_demo_001,2026-04-05,payment_success_rate,0.9061,overall,all
proj_demo_001,2026-04-05,refund_rate,0.0359,overall,all
